Time (seconds),Athlete,Date
9.58,Usain Boltÿ(Jamaica),"Aug 16, 2009"
9.69,Usain Boltÿ(Jamaica),"Aug 16, 2008"
9.72,Usain Boltÿ(Jamaica),"May 31, 2008"
9.74,Asafa Powell (Jamaica),"Sept 9, 2007"
9.77,Asafa Powell (Jamaica),"June 14, 2005"
9.78,Tim Montgomery (USA),"Sept. 14, 2002 (doped)"
9.79,Maurice Greene (USA),"June 16, 1999"
9.84,Donovan Bailey (Canada),"July 27, 1996"
9.85,Leroy Burrell (USA),"July 6, 1994"
9.86,Carl Lewisÿ(USA),"Aug. 25, 1991"
9.9,Leroy Burrell (USA),"June 14, 1991"
9.92,Carl Lewisÿ(USA),"Sept. 24, 1988"
9.93,Calvin Smith (USA),"July 3, 1983"
9.95,Jim Hines (USA),"Oct. 14, 1968"
9.99,Jim Hines (USA),"June 20, 1968"
10,Armin Hary (West Germany),"June 21, 1960"
10.1,Willie Williams (USA),"Aug. 3, 1956"
10.2,Jesse Owensÿ(USA),"June 20, 1936"
10.3,Percy Williams (Canada),"Aug. 9, 1930"
10.4,Charles Paddock (USA),"April 23, 1921"
10.6,Donald Lippincott (USA),"July 6, 1912"
